league,time_stamp
nfl,2020-12-18T21:18:28.22451355Z
nfl,2020-12-18T22:18:28.369089796Z
nfl,2020-12-18T23:18:28.09248361Z
nfl,2020-12-19T00:18:28.344293841Z
nfl,2020-12-19T01:18:28.298491216Z
nfl,2020-12-19T02:18:28.343253276Z
nfl,2020-12-19T03:18:28.115871205Z
nfl,2020-12-19T04:18:27.861360047Z
nfl,2020-12-19T05:18:28.108382398Z
nfl,2020-12-19T06:18:28.084884393Z
nfl,2020-12-19T07:18:28.489785321Z
nfl,2020-12-19T08:18:28.159108032Z
nfl,2020-12-19T09:18:28.300933827Z
nfl,2020-12-19T10:18:28.585269378Z
nfl,2020-12-19T11:18:28.344338366Z
nfl,2020-12-19T12:18:28.372533538Z
nfl,2020-12-19T13:18:28.092531963Z
nfl,2020-12-19T14:18:28.229240114Z
nfl,2020-12-19T15:18:28.332450207Z
nfl,2020-12-19T16:18:28.184401832Z
nfl,2020-12-19T17:18:28.179731633Z
nfl,2020-12-19T18:18:28.313077568Z
nfl,2020-12-19T19:18:30.982295605Z
nfl,2020-12-19T19:34:58.8054878Z
nfl,2020-12-19T20:18:28.486586337Z
nfl,2020-12-19T20:30:29.527753234Z
nfl,2020-12-19T21:18:28.242938208Z
nfl,2020-12-19T22:18:28.283992654Z
nfl,2020-12-19T23:18:28.130140226Z
nfl,2020-12-20T00:18:28.357054005Z
nfl,2020-12-20T01:18:28.341102295Z
nfl,2020-12-20T02:18:28.192064105Z
nfl,2020-12-20T03:18:28.28990508Z
nfl,2020-12-20T04:18:28.192775686Z
nfl,2020-12-20T05:18:28.280079784Z
nfl,2020-12-20T06:18:28.25180076Z
nfl,2020-12-20T07:18:28.156646635Z
nfl,2020-12-20T08:18:28.30822977Z
nfl,2020-12-20T09:18:28.385249413Z
nfl,2020-12-20T10:18:28.103833857Z
nfl,2020-12-20T11:18:28.111384715Z
nfl,2020-12-20T12:18:28.216280089Z
nfl,2020-12-20T13:18:28.36116772Z
nfl,2020-12-20T14:18:27.917485559Z
nfl,2020-12-20T14:23:19.203988038Z
college-football,2020-11-29T02:19:08.902139875Z
college-football,2020-11-29T02:19:27.802147546Z
college-football,2020-11-29T02:20:36.566677554Z
college-football,2020-11-29T03:20:36.841578321Z
college-football,2020-11-29T04:20:38.125090332Z
college-football,2020-11-29T05:20:36.931555772Z
college-football,2020-11-29T06:20:36.727557137Z
college-football,2020-11-29T07:20:36.660956718Z
college-football,2020-11-29T08:20:36.62054717Z
college-football,2020-11-29T09:20:36.811289353Z
college-football,2020-11-29T10:21:53.196032338Z
college-football,2020-11-29T11:20:36.628794414Z
college-football,2020-11-29T12:20:36.529192611Z
college-football,2020-11-29T13:20:42.310313621Z
college-football,2020-11-29T14:20:36.751492063Z
college-football,2020-11-29T15:20:36.50173393Z
college-football,2020-11-29T16:20:36.52733482Z
college-football,2020-11-29T17:20:36.877658654Z
college-football,2020-11-29T18:20:36.960473614Z
college-football,2020-11-29T19:20:36.727323733Z
college-football,2020-11-29T20:20:36.708811667Z
college-football,2020-11-29T21:20:36.610427911Z
college-football,2020-11-29T22:20:36.676099624Z
college-football,2020-11-29T23:20:36.297736696Z
college-football,2020-11-30T00:20:36.580228069Z
college-football,2020-11-30T01:20:36.673102107Z
college-football,2020-11-30T02:20:36.865346558Z
college-football,2020-11-30T03:20:36.472095752Z
college-football,2020-11-30T04:20:36.857051987Z
college-football,2020-11-30T05:20:39.71507558Z
college-football,2020-11-30T06:20:36.709904004Z
college-football,2020-11-30T07:20:36.963186053Z
college-football,2020-11-30T08:20:36.812685928Z
college-football,2020-11-30T09:20:36.701728654Z
college-football,2020-11-30T10:20:36.861330792Z
college-football,2020-11-30T11:20:36.737704402Z
college-football,2020-11-30T12:20:36.841360805Z
college-football,2020-11-30T13:20:36.557205411Z
college-football,2020-11-30T14:20:36.894845236Z
college-football,2020-11-30T15:20:36.672792436Z
college-football,2020-11-30T16:20:36.995646522Z
college-football,2020-11-30T17:20:36.979526011Z
college-football,2020-11-30T18:20:36.944754801Z
college-football,2020-11-30T19:20:36.458318178Z
college-football,2020-11-30T20:20:40.261618865Z
college-football,2020-11-30T21:20:36.851162078Z
college-football,2020-11-30T22:20:36.880228907Z
college-football,2020-11-30T23:20:39.521382028Z
college-football,2020-12-01T00:20:36.74139962Z
college-football,2020-12-01T01:20:36.521700309Z
college-football,2020-12-01T02:20:36.722719402Z
college-football,2020-12-01T03:20:36.696545379Z
college-football,2020-12-01T04:20:36.723917611Z
college-football,2020-12-01T05:20:36.857924554Z
college-football,2020-12-01T06:20:39.421195309Z
college-football,2020-12-01T07:20:36.791413329Z
college-football,2020-12-01T08:20:36.930372199Z
college-football,2020-12-01T09:20:36.817603478Z
college-football,2020-12-01T10:20:36.733908357Z
college-football,2020-12-01T11:20:36.816594443Z
college-football,2020-12-01T12:20:36.712604775Z
college-football,2020-12-01T13:20:36.55556131Z
college-football,2020-12-01T14:20:36.618802595Z
college-football,2020-12-01T15:20:36.753054386Z
college-football,2020-12-01T16:20:36.866451195Z
college-football,2020-12-01T17:20:36.724759538Z
college-football,2020-12-01T18:20:36.8449256Z
college-football,2020-12-01T19:20:36.54709906Z
college-football,2020-12-01T20:20:36.454682322Z
college-football,2020-12-01T21:20:40.552937174Z
college-football,2020-12-01T22:20:36.980518171Z
college-football,2020-12-01T23:20:36.572902829Z
college-football,2020-12-02T00:20:36.558915211Z
college-football,2020-12-02T01:20:36.705783593Z
college-football,2020-12-02T02:20:36.534142138Z
college-football,2020-12-02T03:20:37.025891714Z
